,,,"Kingston [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,    7345,,    1305,,    6045,,  589085,,   96720,,  492365,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,     410,,     225,,     180,,   17640,,    8990,,    8645,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,    3100,,    1715,,    1380,,  259400,,  129985,,  129415,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,    1505,,     500,,    1000,,  137250,,   36225,,  101030,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,     130,,     120,,      10,,    1685,,    1405,,     280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,     110,,     105,,      10,,    1415,,    1270,,     145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,    1105,,     755,,     350,,   77190,,   52840,,   24345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,     245,,     230,,      10,,   41855,,   38245,,    3610,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,       0,,       0,,       0,,    1125,,     220,,     900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,       0,,       0,,       0,,    1125,,     225,,     900,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data",157,   96825,,   45455,,   51375,,11038440,, 5342755,, 5695685,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,   40610,,   20535,,   20075,, 4961460,, 2447010,, 2514445,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158,   56215,,   24915,,   31305,, 6076985,, 2895745,, 3181240,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,   49645,,   21680,,   27970,, 4786950,, 2261260,, 2525690,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,   43540,,   18965,,   24580,, 4414485,, 2081525,, 2332960,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,    6105,,    2710,,    3395,,  372470,,  179735,,  192730,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,    6570,,    3235,,    3330,, 1290035,,  634485,,  655545,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,    1545,,     835,,     705,,  167260,,   89350,,   77910,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,     315,,      65,,     245,,  115410,,   39750,,   75655,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,     410,,     190,,     215,,  169340,,   85500,,   83840,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,    1125,,     670,,     455,,  115690,,   66215,,   49470,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,     410,,     215,,     200,,   98415,,   46230,,   52185,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,     115,,      65,,      55,,   10775,,    5800,,    4975,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,    2655,,    1195,,    1460,,  613145,,  301635,,  311510,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data",157,   60695,,   28810,,   31880,, 7229120,, 3498620,, 3730500,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,   19610,,   10720,,    8890,, 2521955,, 1299795,, 1222160,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158,   41080,,   18090,,   22990,, 4707170,, 2198830,, 2508335,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,   36630,,   16005,,   20625,, 3713145,, 1728610,, 1984540,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,   32235,,   14110,,   18125,, 3432015,, 1593170,, 1838850,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,    4390,,    1895,,    2495,,  281130,,  135440,,  145690,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,    4450,,    2085,,    2360,,  994025,,  470225,,  523800,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,    1020,,     500,,     520,,  127005,,   65045,,   61960,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,     235,,      50,,     185,,   97230,,   32925,,   64300,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,     300,,     135,,     165,,  143205,,   70040,,   73175,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,     510,,     315,,     190,,   62325,,   34315,,   28010,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,     355,,     185,,     165,,   82020,,   37900,,   44125,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,      70,,      45,,      30,,    8705,,    4630,,    4070,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,    1960,,     860,,    1105,,  473530,,  225365,,  248160,
"Labour force status","Total - Population aged 15 years and over by Labour force status - 25% sample data",163,   96825,,   45450,,   51375,,11038440,, 5342755,, 5695680,
"Labour force status","  In the labour force",,   60560,,   29930,,   30620,, 7141675,, 3689625,, 3452055,
"Labour force status","    Employed",,   55640,,   27410,,   28235,, 6612150,, 3414255,, 3197895,
"Labour force status","    Unemployed",,    4915,,    2525,,    2390,,  529525,,  275370,,  254160,
"Labour force status","  Not in the labour force",,   36270,,   15520,,   20750,, 3896765,, 1653130,, 2243630,
"Labour force status","Participation rate",, 62.5,, 65.9,, 59.6,, 64.7,, 69.1,, 60.6,
"Labour force status","Employment rate",, 57.5,, 60.3,, 55.0,, 59.9,, 63.9,, 56.1,
"Labour force status","Unemployment rate",,  8.1,,  8.4,,  7.8,,  7.4,,  7.5,,  7.4,
"Work activity during the reference year","Total population aged 15 years and over by work activity during the reference year - 25% sample data",164,   96825,,   45450,,   51375,,11038440,, 5342755,, 5695685,
"Work activity during the reference year","  Did not work",165,   33735,,   14335,,   19405,, 3696235,, 1561475,, 2134755,
"Work activity during the reference year","  Worked",,   63090,,   31115,,   31975,, 7342205,, 3781280,, 3560925,
"Work activity during the reference year","    Worked full year; full time",166,   31780,,   16840,,   14940,, 3837565,, 2148635,, 1688935,
"Work activity during the reference year","    Worked part year and/or part time",167,   31310,,   14275,,   17035,, 3504645,, 1632645,, 1871995,
"Work activity during the reference year","Average weeks worked in reference year",, 42.6,, 42.9,, 42.2,, 42.9,, 43.4,, 42.3,
"Class of worker","Total labour force aged 15 years and over by class of worker - 25% sample data",168,   60555,,   29935,,   30620,, 7141675,, 3689625,, 3452055,
"Class of worker","  Class of worker - not applicable",169,    1560,,     795,,     765,,  171050,,   81735,,   89315,
"Class of worker","  All classes of workers",170,   58990,,   29135,,   29855,, 6970625,, 3607890,, 3362735,
"Class of worker","    Employee",,   54185,,   26375,,   27810,, 6146035,, 3084740,, 3061295,
"Class of worker","    Self-employed",171,    4805,,    2755,,    2045,,  824595,,  523145,,  301445,
"Occupation - National Occupational Classification (NOC) 2016","Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data",172,   60560,,   29930,,   30625,, 7141675,, 3689625,, 3452050,
"Occupation - National Occupational Classification (NOC) 2016","  Occupation - not applicable",169,    1565,,     795,,     765,,  171045,,   81735,,   89315,
"Occupation - National Occupational Classification (NOC) 2016","  All occupations",170,   58990,,   29135,,   29860,, 6970625,, 3607890,, 3362735,
"Occupation - National Occupational Classification (NOC) 2016","    0 Management occupations",,    5330,,    3275,,    2055,,  790880,,  483240,,  307635,
"Occupation - National Occupational Classification (NOC) 2016","    1 Business; finance and administration occupations",,    7935,,    2250,,    5685,, 1124770,,  357215,,  767555,
"Occupation - National Occupational Classification (NOC) 2016","    2 Natural and applied sciences and related occupations",,    3315,,    2650,,     670,,  516110,,  399195,,  116915,
"Occupation - National Occupational Classification (NOC) 2016","    3 Health occupations",,    6110,,    1580,,    4530,,  447045,,   90495,,  356550,
"Occupation - National Occupational Classification (NOC) 2016","    4 Occupations in education; law and social; community and government services",,   11465,,    5040,,    6425,,  831340,,  265075,,  566265,
"Occupation - National Occupational Classification (NOC) 2016","    5 Occupations in art; culture; recreation and sport",,    1825,,     775,,    1050,,  225720,,  104445,,  121275,
"Occupation - National Occupational Classification (NOC) 2016","    6 Sales and service occupations",,   15850,,    6960,,    8890,, 1632085,,  709375,,  922710,
"Occupation - National Occupational Classification (NOC) 2016","    7 Trades; transport and equipment operators and related occupations",,    5440,,    5200,,     240,,  927820,,  866870,,   60950,
"Occupation - National Occupational Classification (NOC) 2016","    8 Natural resources; agriculture and related production occupations",,     625,,     510,,     115,,  113405,,   88150,,   25260,
"Occupation - National Occupational Classification (NOC) 2016","    9 Occupations in manufacturing and utilities",,    1090,,     900,,     195,,  361455,,  243835,,  117620,
"Industry - North American Industry Classification System (NAICS) 2012","Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data",173,   60555,,   29935,,   30620,, 7141675,, 3689625,, 3452050,
"Industry - North American Industry Classification System (NAICS) 2012","  Industry - NAICS2012 - not applicable",169,    1565,,     795,,     765,,  171050,,   81730,,   89315,
"Industry - North American Industry Classification System (NAICS) 2012","  All industry categories",170,   58990,,   29135,,   29860,, 6970625,, 3607890,, 3362735,
"Industry - North American Industry Classification System (NAICS) 2012","    11 Agriculture; forestry; fishing and hunting",,     150,,      90,,      60,,  102070,,   67005,,   35070,
"Industry - North American Industry Classification System (NAICS) 2012","    21 Mining; quarrying; and oil and gas extraction",,     100,,      90,,      10,,   32340,,   27920,,    4415,
"Industry - North American Industry Classification System (NAICS) 2012","    22 Utilities",,     355,,     290,,      70,,   50820,,   38195,,   12630,
"Industry - North American Industry Classification System (NAICS) 2012","    23 Construction",,    2995,,    2730,,     270,,  476835,,  419600,,   57230,
"Industry - North American Industry Classification System (NAICS) 2012","    31-33 Manufacturing",,    2200,,    1695,,     505,,  683335,,  482800,,  200530,
"Industry - North American Industry Classification System (NAICS) 2012","    41 Wholesale trade",,    1050,,     775,,     270,,  270745,,  178945,,   91800,
"Industry - North American Industry Classification System (NAICS) 2012","    44-45 Retail trade",,    6955,,    3320,,    3640,,  783540,,  367175,,  416365,
"Industry - North American Industry Classification System (NAICS) 2012","    48-49 Transportation and warehousing",,    1420,,    1115,,     305,,  329240,,  242045,,   87190,
"Industry - North American Industry Classification System (NAICS) 2012","    51 Information and cultural industries",,     940,,     515,,     425,,  176715,,  101045,,   75670,
"Industry - North American Industry Classification System (NAICS) 2012","    52 Finance and insurance",,    1700,,     645,,    1050,,  380765,,  169590,,  211180,
"Industry - North American Industry Classification System (NAICS) 2012","    53 Real estate and rental and leasing",,    1030,,     550,,     480,,  144275,,   77385,,   66890,
"Industry - North American Industry Classification System (NAICS) 2012","    54 Professional; scientific and technical services",,    2835,,    1515,,    1315,,  567825,,  316685,,  251140,
"Industry - North American Industry Classification System (NAICS) 2012","    55 Management of companies and enterprises",,      20,,      15,,      10,,   12365,,    5290,,    7075,
"Industry - North American Industry Classification System (NAICS) 2012","    56 Administrative and support; waste management and remediation services",,    2795,,    1660,,    1135,,  338640,,  190210,,  148430,
"Industry - North American Industry Classification System (NAICS) 2012","    61 Educational services",,    7955,,    3230,,    4720,,  528470,,  163680,,  364795,
"Industry - North American Industry Classification System (NAICS) 2012","    62 Health care and social assistance",,    9725,,    2245,,    7480,,  754555,,  134270,,  620275,
"Industry - North American Industry Classification System (NAICS) 2012","    71 Arts; entertainment and recreation",,    1385,,     645,,     745,,  147425,,   75330,,   72095,
"Industry - North American Industry Classification System (NAICS) 2012","    72 Accommodation and food services",,    5955,,    2610,,    3345,,  478070,,  201260,,  276805,
"Industry - North American Industry Classification System (NAICS) 2012","    81 Other services (except public administration)",,    2230,,     940,,    1290,,  296960,,  133220,,  163745,
"Industry - North American Industry Classification System (NAICS) 2012","    91 Public administration",,    7200,,    4460,,    2740,,  415635,,  216250,,  199385,
"Place of work status","Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data",174,   55640,,   27405,,   28230,, 6612150,, 3414255,, 3197900,
"Place of work status","  Worked at home",,    2970,,    1380,,    1595,,  480290,,  242495,,  237795,
"Place of work status","  Worked outside Canada",,     260,,     175,,      85,,   39145,,   25995,,   13150,
"Place of work status","  No fixed workplace address",,    4920,,    3475,,    1440,,  736715,,  536140,,  200570,
"Place of work status","  Worked at usual place",,   47495,,   22375,,   25120,, 5355995,, 2609620,, 2746375,
"Commuting destination","Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data",,   47495,,   22375,,   25120,, 5356000,, 2609625,, 2746375,
"Commuting destination","  Commute within census subdivision (CSD) of residence",,   40535,,   18680,,   21855,, 3109070,, 1418260,, 1690810,
"Commuting destination","  Commute to a different census subdivision (CSD) within census division (CD) of residence",,     385,,     240,,     150,,  857565,,  419960,,  437605,
"Commuting destination","  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence",,    6385,,    3330,,    3050,, 1350375,,  749770,,  600605,
"Commuting destination","  Commute to a different province or territory",,     195,,     120,,      70,,   38990,,   21630,,   17355,
"Main mode of commuting","Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",175,   52410,,   25850,,   26560,, 6092710,, 3145765,, 2946945,
"Main mode of commuting","  Car; truck; van - as a driver",,   36965,,   19080,,   17885,, 4375215,, 2392270,, 1982945,
"Main mode of commuting","  Car; truck; van - as a passenger",,    3840,,    1405,,    2430,,  372480,,  151880,,  220600,
"Main mode of commuting","  Public transit",,    4655,,    1870,,    2780,,  888920,,  376690,,  512235,
"Main mode of commuting","  Walked",,    5055,,    2410,,    2640,,  320015,,  143885,,  176130,
"Main mode of commuting","  Bicycle",,    1305,,     790,,     510,,   75460,,   50200,,   25260,
"Main mode of commuting","  Other method",,     595,,     290,,     305,,   60620,,   30835,,   29785,
"Commuting duration","Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",176,   52410,,   25850,,   26555,, 6092715,, 3145765,, 2946950,
"Commuting duration","  Less than 15 minutes",,   20430,,    9740,,   10690,, 1463845,,  675540,,  788310,
"Commuting duration","  15 to 29 minutes",,   23475,,   11670,,   11805,, 1964690,,  991525,,  973165,
"Commuting duration","  30 to 44 minutes",,    5880,,    2960,,    2915,, 1295375,,  706155,,  589225,
"Commuting duration","  45 to 59 minutes",,    1245,,     650,,     600,,  612415,,  336090,,  276325,
"Commuting duration","  60 minutes and over",,    1375,,     830,,     550,,  756385,,  436455,,  319930,
"Time leaving for work","Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",177,   52410,,   25855,,   26555,, 6092715,, 3145765,, 2946950,
"Time leaving for work","  Between 5 a.m. and 5:59 a.m.",,    2070,,    1355,,     715,,  413515,,  296265,,  117245,
"Time leaving for work","  Between 6 a.m. and 6:59 a.m.",,    8225,,    4835,,    3390,, 1039255,,  640810,,  398445,
"Time leaving for work","  Between 7 a.m. and 7:59 a.m.",,   15545,,    7830,,    7715,, 1571230,,  778100,,  793130,
"Time leaving for work","  Between 8 a.m. and 8:59 a.m.",,   12520,,    5290,,    7240,, 1354870,,  577565,,  777310,
"Time leaving for work","  Between 9 a.m. and 11:59 a.m.",,    6035,,    2620,,    3415,,  740330,,  328410,,  411920,
"Time leaving for work","  Between 12 p.m. and 4:59 a.m.",,    8010,,    3925,,    4085,,  973515,,  524620,,  448895,
"Language used most often at work","Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data",178,   64780,,   31875,,   32905,, 7579085,, 3895880,, 3683200,
"Language used most often at work","  Single responses",,   64195,,   31580,,   32610,, 7434675,, 3828665,, 3606015,
"Language used most often at work","    Official languages",,   63925,,   31440,,   32490,, 7319360,, 3767405,, 3551955,
"Language used most often at work","      English",,   63255,,   31230,,   32030,, 7225210,, 3732550,, 3492655,
"Language used most often at work","      French",,     670,,     210,,     460,,   94145,,   34850,,   59295,
"Language used most often at work","    Non-official languages",,     265,,     145,,     125,,  115320,,   61255,,   54060,
"Language used most often at work","      Aboriginal languages",,      10,,       0,,       0,,    1485,,     765,,     715,
"Language used most often at work","        Algonquian languages",,      10,,      10,,       0,,    1420,,     745,,     675,
"Language used most often at work","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Cree-Montagnais languages",,      10,,      10,,       0,,     370,,     220,,     150,
"Language used most often at work","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Swampy Cree",,      10,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Woods Cree",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","            Cree; n.o.s.",,       0,,       0,,       0,,     360,,     215,,     145,
"Language used most often at work","          Eastern Algonquian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Mi'kmaq",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,    1050,,     525,,     525,
"Language used most often at work","            Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Ojibway",,       0,,       0,,       0,,     495,,     235,,     265,
"Language used most often at work","            Oji-Cree",,       0,,       0,,       0,,     545,,     290,,     260,
"Language used most often at work","            Ottawa (Odawa)",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Northern Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Dene",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Inuit languages",,       0,,       0,,       0,,      25,,       0,,      20,
"Language used most often at work","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Inuktitut",,       0,,       0,,       0,,      25,,      10,,      20,
"Language used most often at work","          Inuit languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Iroquoian languages",,       0,,       0,,       0,,      25,,      10,,      20,
"Language used most often at work","          Cayuga",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","          Mohawk",,       0,,       0,,       0,,      20,,      10,,      10,
"Language used most often at work","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Michif",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Salish languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Siouan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Dakota",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Tsimshian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Nisga'a",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,      10,,       0,
"Language used most often at work","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","      Non-Aboriginal languages",,     255,,     140,,     125,,  113835,,   60490,,   53340,
"Language used most often at work","        Afro-Asiatic languages",,      10,,       0,,      10,,    3305,,    1995,,    1310,
"Language used most often at work","          Berber languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Kabyle",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Berber languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Cushitic languages",,       0,,       0,,       0,,     125,,      45,,      80,
"Language used most often at work","            Bilen",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Oromo",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","            Somali",,       0,,       0,,       0,,     110,,      35,,      70,
"Language used most often at work","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Semitic languages",,      10,,      10,,       0,,    3175,,    1955,,    1225,
"Language used most often at work","            Amharic",,       0,,       0,,       0,,      75,,      30,,      45,
"Language used most often at work","            Arabic",,      10,,       0,,      10,,    2430,,    1605,,     825,
"Language used most often at work","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,     145,,     110,,      40,
"Language used most often at work","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,      35,,      20,,      15,
"Language used most often at work","            Harari",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Hebrew",,       0,,       0,,       0,,     395,,     140,,     260,
"Language used most often at work","            Maltese",,       0,,       0,,       0,,      20,,      15,,      10,
"Language used most often at work","            Tigrigna",,       0,,       0,,       0,,      60,,      30,,      25,
"Language used most often at work","            Semitic languages; n.i.e.",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Austro-Asiatic languages",,      10,,      10,,      10,,    2575,,    1065,,    1510,
"Language used most often at work","          Khmer (Cambodian)",,       0,,       0,,       0,,      95,,      50,,      50,
"Language used most often at work","          Vietnamese",,      15,,       0,,      10,,    2480,,    1015,,    1465,
"Language used most often at work","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Austronesian languages",,       0,,       0,,       0,,    1280,,     495,,     790,
"Language used most often at work","          Bikol",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Cebuano",,       0,,       0,,       0,,      25,,      10,,      15,
"Language used most often at work","          Fijian",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Hiligaynon",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","          Ilocano",,       0,,       0,,       0,,      40,,      20,,      20,
"Language used most often at work","          Malagasy",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Malay",,       0,,       0,,       0,,      55,,      20,,      30,
"Language used most often at work","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Pangasinan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Tagalog (Pilipino; Filipino)",,       0,,       0,,       0,,    1145,,     435,,     705,
"Language used most often at work","          Waray-Waray",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","        Creole languages",,       0,,       0,,       0,,      60,,      35,,      30,
"Language used most often at work","          Haitian Creole",,       0,,       0,,       0,,      15,,       0,,       0,
"Language used most often at work","          Creole; n.o.s.",,       0,,       0,,       0,,      50,,      25,,      20,
"Language used most often at work","          Creole languages; n.i.e.",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","        Dravidian languages",,       0,,       0,,       0,,    1980,,     945,,    1035,
"Language used most often at work","          Kannada",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","          Malayalam",,       0,,       0,,       0,,      75,,      45,,      30,
